id,survey_id,user_id,question_1_answer,question_2_answer,question_3_answer,rating,feedback,created_at
8215a2f4-ebc0-4d32-b409-50e280b3ba22,general-feedback,3933b3a4-4df7-455b-89a8-343b2d6be756,Hơi khó thao tác ở một số bước,Tôi thấy ổn nhưng muốn thêm gói khác (ví dụ gói trung cấp),Khá ổn,5,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-13 06:22:44.000000
b3379312-8a2b-4fd3-80c1-6d57cf5384b8,general-feedback,001f054f-0281-482b-8e9f-b21ca7c30477,"Rất dễ sử dụng, mượt mà",Phiên bản Free đã đủ dùng với tôi,"Giao diện đẹp, dễ dùng",2,Nhiều mẫu / template hơn,2026-03-11 00:30:47.000000
d2405e97-c469-4e23-a213-578f860ad303,general-feedback,cb9e5112-b6d1-454b-a3b6-dfc861adebd8,Bình thường,Tôi sẵn sàng nâng cấp Pro để có thêm tính năng,"Giao diện đẹp, dễ dùng",4,Giá tốt hơn / ưu đãi nhiều hơn,2026-03-13 18:16:12.000000
129d30b1-549a-4264-8631-559619c20180,general-feedback,4ee18c28-8295-49d0-a752-d57cb9c2dc58,Bình thường,Phiên bản Free đã đủ dùng với tôi,Rất ấn tượng và sáng tạo,3,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-14 21:10:03.000000
2f6c171c-1ee4-406c-b99f-77617ab6df18,general-feedback,650e89e8-972b-4675-97a8-773ff9096417,Bình thường,Phiên bản Free đã đủ dùng với tôi,"Giao diện đẹp, dễ dùng",5,"Tôi đã hài lòng, chưa cần cải thiện gì",2026-03-11 02:57:40.000000
83c9ad66-ab89-41b9-a3b1-dd41404cace0,general-feedback,0d33e51d-8ba0-4065-b089-65dd9846b88c,Khá dễ sử dụng,Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,"Giao diện đẹp, dễ dùng",2,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-12 22:42:54.000000
667b69f6-a7d1-46be-916a-59ce102f003e,general-feedback,531547a3-9d5e-4cca-b9d2-f673f898b857,Hơi khó thao tác ở một số bước,Phiên bản Free đã đủ dùng với tôi,"Giao diện đẹp, dễ dùng",4,Công cụ custom mạnh hơn,2026-03-10 17:16:52.000000
8525cce2-788a-46d9-abb2-afa46d7e41ee,general-feedback,6c6ffb90-071d-4d54-a39c-dad185ab74c3,"Rất dễ sử dụng, mượt mà",Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,"Giao diện đẹp, dễ dùng",5,Nhiều mẫu / template hơn,2026-03-13 05:44:19.000000
361d8410-30f0-4acb-8bfb-1e091c6d5134,general-feedback,7b4ebc11-e8f4-41b0-b740-9beeb5147db0,Khá dễ sử dụng,Tôi thấy ổn nhưng muốn thêm gói khác (ví dụ gói trung cấp),Khá ổn,5,Thanh toán nhanh và đơn giản hơn,2026-03-14 19:43:59.000000
143badd5-4643-462e-be0c-cad3c861121e,general-feedback,a639249a-9c80-47d1-bfef-81abc6a363de,Bình thường,Tôi sẵn sàng nâng cấp Pro để có thêm tính năng,"Giao diện đẹp, dễ dùng",5,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-14 07:16:47.000000
99a5f348-7f6e-487c-b7d8-6434e63b6ecd,general-feedback,75eaac9a-8a64-4ed1-889c-aabedb366cb4,"Rất dễ sử dụng, mượt mà",Tôi sẵn sàng nâng cấp Pro để có thêm tính năng,Rất ấn tượng và sáng tạo,2,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-11 11:29:18.000000
12dca0ee-8f98-4c6c-a293-7d966eb0a94b,general-feedback,aa26c3a7-07d0-4fc2-8f48-89189b68b996,Hơi khó thao tác ở một số bước,Phiên bản Free đã đủ dùng với tôi,"Giao diện đẹp, dễ dùng",3,Giá tốt hơn / ưu đãi nhiều hơn,2026-03-10 21:35:39.000000
fbe21a03-ad55-4535-af9e-5c4a4715159e,general-feedback,aa38a668-4ea1-4f19-973b-19f4f898fad7,"Rất dễ sử dụng, mượt mà",Phiên bản Free đã đủ dùng với tôi,"Giao diện đẹp, dễ dùng",3,Nhiều mẫu / template hơn,2026-03-11 17:42:00.000000
b4c356b7-44c5-429a-9782-f2b85e589100,general-feedback,372b72a7-dc69-41df-a7d2-b33e4c79fabf,Khá dễ sử dụng,Tôi sẵn sàng nâng cấp Pro để có thêm tính năng,Rất ấn tượng và sáng tạo,2,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-11 19:01:37.000000
33e257f8-c88b-4122-a123-941bf3e670f9,general-feedback,12332874-08da-4b9e-bb5a-7a195164eb97,"Rất dễ sử dụng, mượt mà",Phiên bản Free đã đủ dùng với tôi,Rất ấn tượng và sáng tạo,1,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-10 14:52:55.000000
4e035aae-599f-4bb9-b22b-758e2f27d6f1,general-feedback,b5f80321-550e-4914-816e-bcb66be6e39e,"Rất dễ sử dụng, mượt mà",Tôi sẵn sàng nâng cấp Pro để có thêm tính năng,Khá ổn,5,Công cụ custom mạnh hơn,2026-03-10 18:52:32.000000
98e68b04-a9cc-4d86-b725-68849b6bc8fe,general-feedback,4ee18c28-8295-49d0-a752-d57cb9c2dc58,Bình thường,Phiên bản Free đã đủ dùng với tôi,"Giao diện đẹp, dễ dùng",2,Nhiều mẫu / template hơn,2026-03-13 15:37:52.000000
